time,follower_x,follower_y,follower_z,tag_x,tag_y,tag_z,set_x,set_y,set_z,distance
7.867,1.7304580211639404,3.446502447128296,1.3929475545883179,4.158344268798828,3.2284622192382812,0.4585944414138794,2.070214845059893,3.4249025188964226,1.2,2.437657312345799
7.971,1.7925732135772705,3.4283511638641357,1.3924963474273682,4.161773204803467,3.2340495586395264,0.4528801441192627,2.1288546678687212,3.4107237957508896,1.2,2.377154120417746
8.067,1.8422201871871948,3.419100284576416,1.3843740224838257,4.160906791687012,3.2343733310699463,0.450703889131546,2.191234784718455,3.39565633712897,1.2,2.3260334514444696
8.169,1.893918514251709,3.4051549434661865,1.3748083114624023,4.156189441680908,3.221896171569824,0.45319023728370667,2.2409567750999626,3.3873334235466652,1.2,2.2696813711550643
8.269,1.9613921642303467,3.3943958282470703,1.349760890007019,4.154858112335205,3.2245237827301025,0.45526495575904846,2.292612525874654,3.3728581155104456,1.2,2.2000339491343457
8.367,2.0328502655029297,3.38248610496521,1.3248279094696045,4.1548638343811035,3.2117719650268555,0.4617585241794586,2.360198000652631,3.3635104783943905,1.2,2.1288693957305074
8.467,2.094043493270874,3.382807493209839,1.3161017894744873,4.159918785095215,3.2106966972351074,0.4579894244670868,2.4315621025247625,3.350410085594416,1.2,2.0730322832655936
8.567,2.1621341705322266,3.3771746158599854,1.3031330108642578,4.171172142028809,3.219503879547119,0.45554277300834656,2.492662522699595,3.3495980159886525,1.2,2.0152155299134984
8.666,2.2209761142730713,3.3737235069274902,1.3019204139709473,4.163064002990723,3.220285415649414,0.460212767124176,2.560907987362195,3.3458785616221274,1.2,1.9481397833212184
8.769,2.26849102973938,3.360200881958008,1.3048382997512817,4.163152694702148,3.214348554611206,0.4727490544319153,2.6197335146084315,3.342218972685806,1.2,1.900267277535444
8.865,2.3156485557556152,3.3497655391693115,1.302721381187439,4.170695781707764,3.219698190689087,0.4809536635875702,2.6673110667649196,3.329499447676412,1.2,1.8596014964646155
8.967,2.374790906906128,3.336585521697998,1.3126332759857178,4.169553279876709,3.215886354446411,0.4990076422691345,2.714668932858747,3.321788072227603,1.2,1.7988163509391997
9.066,2.4091384410858154,3.3342323303222656,1.3298841714859009,4.145756721496582,3.2142515182495117,0.5133988261222839,2.7738894301174604,3.3097458352144797,1.2,1.7407580093518127
9.166,2.455078363418579,3.3245699405670166,1.3407362699508667,4.140703201293945,3.225799798965454,0.5130660533905029,2.808187193659394,3.306662544877492,1.2,1.6885161044344077
9.269,2.4985389709472656,3.3171818256378174,1.3413045406341553,4.14389181137085,3.22027325630188,0.5215585231781006,2.854393438578017,3.3011718476871987,1.2,1.6482042471431428
9.368,2.548814058303833,3.3149635791778564,1.3393876552581787,4.145421028137207,3.217288017272949,0.5361124873161316,2.8978469677020366,3.2936632430340143,1.2,1.5995919265593797
9.478,2.5927891731262207,3.3099961280822754,1.3390196561813354,4.14658260345459,3.2063870429992676,0.5531752705574036,2.9480676287485337,3.2905384591749063,1.2,1.5572439971447436
9.566,2.628754138946533,3.3230321407318115,1.3429429531097412,4.143189430236816,3.209122896194458,0.547463595867157,2.991902846558849,3.283382678867386,1.2,1.5187131287694051
9.666,2.67783260345459,3.3295373916625977,1.3529654741287231,4.1275458335876465,3.2213828563690186,0.557805061340332,3.0276274383476944,3.293030623689642,1.2,1.4537420173907718
9.766,2.7156686782836914,3.33913254737854,1.3642674684524536,4.124570369720459,3.2117037773132324,0.564580500125885,3.0767240746483724,3.2997784567209774,1.2,1.4146526314165402
9.864,2.7516207695007324,3.3494462966918945,1.3488551378250122,4.140682220458984,3.2213172912597656,0.5640785694122314,3.114042571675735,3.3031014349385317,1.2,1.3949583350664172
9.964,2.788724422454834,3.359086275100708,1.3293867111206055,4.13309907913208,3.217207908630371,0.5659379363059998,3.1449095037834605,3.313168784032866,1.2,1.3518404818573657
10.065,2.8063223361968994,3.3673555850982666,1.329633116722107,4.138462066650391,3.221768617630005,0.5529444813728333,3.1386217907835774,3.322159911750889,1.2,1.3400715751590677
10.165,2.837308168411255,3.3545546531677246,1.3291274309158325,4.15420389175415,3.2218730449676514,0.5395671129226685,3.1443810375864283,3.3304098052852096,1.2,1.3235629019103572
10.264,2.8810524940490723,3.337883472442627,1.315858006477356,4.163015842437744,3.227865695953369,0.524817705154419,3.1592411880986146,3.322118834577324,1.2,1.2866755370937677
10.366,2.9409031867980957,3.327526807785034,1.3063076734542847,4.168764114379883,3.232722520828247,0.5207861065864563,3.1666781400172406,3.313371150372559,1.2,1.2315154527278136
10.465,3.0070953369140625,3.3122363090515137,1.2749136686325073,4.164791107177734,3.239429235458374,0.5069865584373474,3.171731616848432,3.309704329498853,1.2,1.1599829164481663
10.577,3.0860280990600586,3.30771541595459,1.2588499784469604,4.1635003089904785,3.2375848293304443,0.4962219297885895,3.166762813960708,3.302194878435318,1.2,1.0797521300523512
10.664,3.137355327606201,3.2955198287963867,1.2606192827224731,4.1557207107543945,3.2414801120758057,0.4853385388851166,3.1656118307541083,3.302535464455142,1.2,1.0197981881616613
10.768,3.186779737472534,3.284529447555542,1.2473748922348022,4.157933235168457,3.2440013885498047,0.4724505841732025,3.157125699535607,3.2944707109490943,1.2,0.9719987858293844
10.863,3.219268560409546,3.2874443531036377,1.2263275384902954,4.148387908935547,3.239739418029785,0.48472315073013306,3.158802874252152,3.285696974590229,1.2,0.9303432294781216
10.967,3.24294114112854,3.297499418258667,1.2666051387786865,4.149778366088867,3.240211009979248,0.4684607684612274,3.149703424449974,3.29101612275801,1.2,0.9086449880437004
11.065,3.242192029953003,3.276826858520508,1.2697888612747192,4.147115230560303,3.231919288635254,0.48174184560775757,3.1517678813639862,3.3032591850456843,1.2,0.9060368032427591
11.172,3.2702298164367676,3.2906696796417236,1.2829976081848145,4.1401143074035645,3.240980625152588,0.47909310460090637,3.148344322614261,3.2814841294061003,1.2,0.8713024903904427
