time,cf231_x,cf231_y,cf231_z,cf231_ex,cf231_ey,cf231_ez,cf2_x,cf2_y,cf2_z,cf2_ex,cf2_ey,cf2_ez,separation_xy,separation_3d
12.681,2.0636730194091797,3.4116320610046387,0.6699045300483704,1.6699893220922937,3.4854459043370176,0.7,2.6178410053253174,2.889997720718384,0.9856323599815369,2.679073325235089,3.1835324929054,1.0,0.7610548873637334,0.8239469668458835
12.771,1.9878336191177368,3.4397189617156982,0.6635170578956604,1.6304107928096476,3.491460047162143,0.7,2.6178410053253174,2.889997720718384,0.9856323599815369,2.6435876754782663,3.2576872927392877,1.0,0.8361236448514867,0.8960251209188337
12.78,1.9878336191177368,3.4397189617156982,0.6635170578956604,1.6304107928096476,3.491460047162143,0.7,2.6226818561553955,2.9837522506713867,0.9778562784194946,2.6435876754782663,3.2576872927392877,1.0,0.7816251823287105,0.8424648783242668
12.861,1.9080029726028442,3.4614086151123047,0.6514742970466614,1.5907140590325328,3.4958769801003746,0.7,2.6226818561553955,2.9837522506713867,0.9778562784194946,2.5504871428178766,3.231341870201741,1.0,0.8596054380277245,0.9194817599341993
12.918,1.9080029726028442,3.4614086151123047,0.6514742970466614,1.550785552332226,3.4987095812468763,0.7,2.6192994117736816,3.0430853366851807,0.9896045923233032,2.487012599922163,3.304094116506666,1.0,0.8251890629735285,0.891778608307577
12.945,1.826076626777649,3.4726548194885254,0.648240327835083,1.550785552332226,3.4987095812468763,0.7,2.6192994117736816,3.0430853366851807,0.9896045923233032,2.487012599922163,3.304094116506666,1.0,0.9020711320027902,0.9645008492802788
12.979,1.826076626777649,3.4726548194885254,0.648240327835083,1.550785552332226,3.4987095812468763,0.7,2.605842351913452,3.0875351428985596,1.0157678127288818,2.487012599922163,3.304094116506666,1.0,0.8696848575164022,0.9441547561420672
13.043,1.7496274709701538,3.4822897911071777,0.6662419438362122,1.5108189657603732,3.499941473277249,0.7,2.605842351913452,3.0875351428985596,1.0157678127288818,2.4205021944742846,3.3910567529150315,1.0,0.9428335773778194,1.0055364178667185
13.079,1.7496274709701538,3.4822897911071777,0.6662419438362122,1.5108189657603732,3.499941473277249,0.7,2.6007258892059326,3.1175785064697266,1.0098878145217896,2.4205021944742846,3.3910567529150315,1.0,0.925949695537152,0.9876615427891243
13.145,1.6935405731201172,3.4786951541900635,0.6938419342041016,1.4707489059565109,3.4995720951973697,0.7,2.6007258892059326,3.1175785064697266,1.0098878145217896,2.3449183446890407,3.4072646242162974,1.0,0.976417139844695,1.0262920780403
13.229,1.6935405731201172,3.4786951541900635,0.6938419342041016,1.4308170539284617,3.4976039895534012,0.7,2.574671745300293,3.1435680389404297,1.0199031829833984,2.2923120790645957,3.517070715019601,1.0,0.9427100964576288,0.9975060219961914
13.245,1.640360713005066,3.478318214416504,0.7245593070983887,1.4308170539284617,3.4976039895534012,0.7,2.574671745300293,3.1435680389404297,1.0199031829833984,2.2923120790645957,3.517070715019601,1.0,0.9924690348065451,1.0354819119968321
13.293,1.640360713005066,3.478318214416504,0.7245593070983887,1.4308170539284617,3.4976039895534012,0.7,2.546053171157837,3.162910223007202,1.0125000476837158,2.2923120790645957,3.517070715019601,1.0,0.9590417247438502,1.0013345594198204
13.342,1.5997523069381714,3.469714641571045,0.7634283304214478,1.3910217607454978,3.494044135523664,0.7,2.546053171157837,3.162910223007202,1.0125000476837158,2.240345641575777,3.4825709180269557,1.0,0.9947935850583193,1.0255003643164438
13.423,1.5997523069381714,3.469714641571045,0.7634283304214478,1.3512992412979192,3.4888822398857338,0.7,2.5073165893554688,3.174015998840332,1.0006037950515747,2.1867230778486437,3.5940742575915428,1.0,0.9545211438372697,0.9835460411464866
13.48,1.564940333366394,3.4621634483337402,0.8084600567817688,1.3512992412979192,3.4888822398857338,0.7,2.5073165893554688,3.174015998840332,1.0006037950515747,2.1867230778486437,3.5940742575915428,1.0,0.9854450570689075,1.0040025780135418
13.494,1.564940333366394,3.4621634483337402,0.8084600567817688,1.3512992412979192,3.4888822398857338,0.7,2.4513535499572754,3.1941537857055664,0.9783828854560852,2.1867230778486437,3.5940742575915428,1.0,0.9260440431259521,0.9415048260703401
13.554,1.5305140018463135,3.433591365814209,0.8699960112571716,1.311932583868566,3.4821561214947683,0.7,2.4513535499572754,3.1941537857055664,0.9783828854560852,2.1513042264807387,3.589353797227787,1.0,0.9514598405258539,0.9576134620148645
13.583,1.5305140018463135,3.433591365814209,0.8699960112571716,1.311932583868566,3.4821561214947683,0.7,2.3950772285461426,3.2200191020965576,0.963324785232544,2.1513042264807387,3.589353797227787,1.0,0.8905518989879827,0.8954289166890068
